x,y,z,date,scanner1,scanner2,scanner3
3,3,1,2021-08-01 21:25:53.308000,-255,-255,-80
3,3,1,2021-08-01 21:25:53.308000,-255,-255,-76
4,3,1,2021-08-01 21:26:53.308000,-76,-62,-72
4,3,1,2021-08-01 21:26:53.308000,-83,-61,-76
4,3,1,2021-08-01 21:26:53.308000,-79,-66,-76
4,3,1,2021-08-01 21:26:53.308000,-79,-85,-76
4,3,1,2021-08-01 21:26:53.308000,-255,-65,-72
4,3,1,2021-08-01 21:26:53.308000,-255,-59,-82
4,3,1,2021-08-01 21:26:53.308000,-95,-80,-75
4,3,1,2021-08-01 21:26:53.308000,-86,-76,-75
4,3,1,2021-08-01 21:26:53.308000,-94,-78,-85
4,3,1,2021-08-01 21:26:53.308000,-84,-76,-87
3,3,1,2021-08-01 21:27:53.308000,-80,-76,-67
3,3,1,2021-08-01 21:27:53.308000,-80,-79,-75
3,3,1,2021-08-01 21:27:53.308000,-80,-80,-65
3,3,1,2021-08-01 21:27:53.308000,-79,-80,-66
3,3,1,2021-08-01 21:27:53.308000,-255,-76,-66
3,3,1,2021-08-01 21:27:53.308000,-255,-80,-66
3,3,1,2021-08-01 21:27:53.308000,-255,-78,-85
3,3,1,2021-08-01 21:27:53.308000,-255,-76,-255
3,3,1,2021-08-01 21:27:53.308000,-81,-66,-76
3,3,1,2021-08-01 21:27:53.308000,-74,-63,-72
3,3,1,2021-08-01 21:27:53.308000,-79,-66,-73
3,3,1,2021-08-01 21:27:53.308000,-79,-61,-75
3,3,1,2021-08-01 21:27:53.308000,-255,-64,-76
3,3,1,2021-08-01 21:27:53.308000,-255,-64,-76
3,3,1,2021-08-01 21:27:53.308000,-255,-67,-255
3,3,1,2021-08-01 21:28:53.308000,-82,-80,-84
3,3,1,2021-08-01 21:28:53.308000,-78,-76,-76
3,3,1,2021-08-01 21:28:53.308000,-80,-80,-68
3,3,1,2021-08-01 21:28:53.308000,-93,-76,-75
3,3,1,2021-08-01 21:28:53.308000,-84,-79,-75
3,3,1,2021-08-01 21:28:53.308000,-84,-80,-255
3,3,1,2021-08-01 21:28:53.308000,-255,-76,-255
3,3,1,2021-08-01 21:28:53.308000,-74,-63,-73
