x,y,z,date,scanner1,scanner2,scanner3
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-53
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-55
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-53
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-55
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-55
5,1,1,2021-08-01 22:40:53.308000,-97,-255,-255
5,1,1,2021-08-01 22:40:53.308000,-255,-255,-54
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-49
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-55
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-54
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-49
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-53
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-49
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-53
6,1,1,2021-08-01 22:39:53.308000,-96,-255,-64
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-64
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-54
6,1,1,2021-08-01 22:39:53.308000,-255,-255,-65
0,1,1,2021-08-01 22:58:53.308000,-71,-255,-93
0,1,1,2021-08-01 22:58:53.308000,-72,-255,-91
0,1,1,2021-08-01 22:58:53.308000,-77,-255,-93
0,1,1,2021-08-01 22:58:53.308000,-73,-255,-255
0,1,1,2021-08-01 22:58:53.308000,-86,-255,-90
0,1,1,2021-08-01 22:58:53.308000,-75,-255,-89
0,1,1,2021-08-01 22:58:53.308000,-83,-255,-85
0,1,1,2021-08-01 23:00:53.308000,-78,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-72,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-76,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-72,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-77,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-87,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-84,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-75,-255,-255
0,1,1,2021-08-01 23:00:53.308000,-79,-255,-255
